Indent	Cycle	Max.	Plastic	Max.				Contact	Plastic	Elastic	Fit
		Depth	Depth	Load	Hardness	Er	ERP	Compliance	Work	Work	MSE
		(nm)	(nm)	(mN)	(GPa)	(GPa)		(nm/mN)	(nJ)	(nJ)
1	1	1000.181132	868.067501	100.029992	5.227689	111.264858	0.152193	1.760987	21.256540	11.228750	0.095731
2	1	960.763924	811.938148	100.029992	5.940311	105.287594	0.183297	1.983749	23.337000	12.408917	0.064940
3	1	1305.686982	1177.379561	100.029985	2.287356	75.781965	0.108977	1.710253	38.093705	13.490554	1.270953
4	1	925.516998	780.026046	100.029985	6.377351	111.592478	0.186521	1.939298	25.192487	11.785343	0.028307
5	1	1044.392191	905.860691	100.029992	4.781607	101.482038	0.152928	1.846533	30.525937	11.454493	0.025917
6	1	972.590682	824.291083	100.029992	5.777792	104.205764	0.179912	1.976735	29.772801	12.489986	0.099940
7	1	1188.031324	1053.414583	100.029985	3.269120	86.350955	0.127791	1.794352	30.248773	12.350249	0.141225
8	1	1213.454004	1079.355919	100.029992	3.041283	83.609689	0.124239	1.787438	27.536682	11.589991	0.091832
9	1	1009.210064	870.698369	100.029985	5.195812	105.801309	0.159081	1.846269	18.714479	11.807558	0.031854
10	1	1112.521001	977.961046	100.029985	3.997360	95.525997	0.137592	1.793595	33.991585	12.860174	0.318976
11	1	977.299507	828.230352	100.029985	5.726681	103.208261	0.179985	1.986993	25.006905	12.134906	0.020456
12	1	1260.146915	1096.815683	100.029985	2.894580	66.969074	0.148914	2.177097	43.925732	16.455764	16.465335
13	1	1120.016608	968.546601	100.029985	4.094905	85.890682	0.156389	2.018995	31.189069	12.354685	0.029156
14	1	935.443446	790.147283	100.029985	6.235877	110.495703	0.183885	1.936701	23.632919	12.039171	0.037465
15	1	823.908505	696.313013	100.029992	7.679551	139.631490	0.183244	1.700763	15.903727	11.039095	0.095502
16	1	926.534858	788.817067	100.029969	6.254311	116.748259	0.174588	1.835687	20.276202	10.965110	0.030446
17	1	1075.232553	919.295455	100.029985	4.628956	88.703931	0.169627	2.078538	30.199490	12.679098	0.036007
18	1	1167.425439	1044.471446	100.029985	3.350378	95.709491	0.117719	1.638895	26.830696	12.913927	0.605576
19	1	1044.460701	909.898411	100.029985	4.735410	103.969554	0.147887	1.793626	28.603131	11.362119	0.065800
20	1	1052.470971	902.511909	100.029985	4.820130	94.125533	0.166157	1.998855	28.044932	12.520437	0.097698
21	1	1137.590372	1005.683044	100.029985	3.718650	93.988457	0.131162	1.758237	20.217107	10.614618	0.026556
22	1	1075.740617	922.101719	100.029985	4.597452	89.723909	0.166618	2.047905	26.029625	11.816537	0.048081
23	1	1220.194768	1088.083223	100.029985	2.967282	83.828053	0.121417	1.760959	36.142040	12.491345	0.485478
24	1	1076.280035	946.508622	100.029985	4.328942	103.077196	0.137105	1.729767	29.740726	12.555732	0.395335
25	1	1056.258400	908.505032	100.029985	4.751321	94.846334	0.162634	1.969454	34.945473	12.367355	0.069746
