Indent	Cycle	Max.	Plastic	Max.				Contact	Plastic	Elastic	Fit
		Depth	Depth	Load	Hardness	Er	ERP	Compliance	Work	Work	MSE
		(nm)	(nm)	(mN)	(GPa)	(GPa)		(nm/mN)	(nJ)	(nJ)
1	1	617.113503	515.342127	50.029985	6.109182	110.424827	0.197483	2.712277	9.417028	4.237159	0.022463
2	1	653.504570	548.904838	50.029985	5.533946	102.255750	0.190561	2.787654	10.064305	4.263695	0.009956
3	1	659.079051	562.088303	50.029985	5.334513	108.272437	0.172554	2.584870	8.262912	3.871359	0.010036
4	1	381.679623	302.725542	50.029989	15.672515	227.979413	0.260811	2.104180	3.537252	3.484013	0.045549
5	1	698.455739	602.642064	50.029985	4.794740	103.909650	0.158989	2.553500	9.439549	3.856611	0.015945
6	1	667.364190	579.172632	50.029969	5.094655	116.367349	0.152272	2.350366	6.842831	4.357102	0.208002
7	1	665.079828	571.371209	50.029969	5.201738	110.661224	0.164007	2.497400	11.855713	3.725709	0.013022
8	1	646.397406	542.566034	50.029985	5.634755	103.946475	0.191371	2.767177	8.755656	4.422838	0.012722
9	1	853.424655	768.088812	50.029985	3.274952	96.421045	0.111102	2.274259	17.150064	4.201935	0.256323
10	1	744.718265	658.568170	50.029985	4.187499	107.999669	0.130814	2.295959	7.809102	3.832815	0.048592
11	1	608.983872	513.670203	50.029985	6.140742	118.210513	0.185554	2.540175	8.725104	3.891573	0.013948
12	1	854.684844	760.992726	50.029985	3.326690	88.512366	0.123118	2.496959	14.497161	4.583491	0.130087
13	1	652.817401	547.759212	50.029985	5.551919	101.974719	0.191796	2.799873	8.605571	4.193474	0.008104
14	1	742.046120	643.625206	50.029985	4.337286	96.210503	0.152916	2.622985	11.816644	4.042179	0.014639
15	1	677.693235	581.697146	50.029985	5.060839	106.551252	0.165028	2.558361	8.107821	3.780725	0.009975
16	1	836.456788	724.401703	50.029985	3.607166	77.064139	0.154686	2.986345	10.254882	4.518749	0.011291
17	1	682.648659	577.819874	50.029985	5.112942	98.074417	0.181421	2.793759	9.851798	4.121764	0.010034
18	1	710.751820	608.211464	50.029989	4.728006	96.415098	0.168593	2.732770	9.613121	4.064742	0.010485
19	1	806.119936	707.969616	50.029969	3.741713	89.607488	0.138636	2.615774	13.914144	3.892589	0.009939
20	1	520.881871	416.059470	50.029985	8.710602	128.017936	0.251941	2.793589	6.389284	4.200602	0.013970
21	1	685.359459	583.969097	50.029985	5.030742	100.581980	0.173623	2.702123	8.285172	4.400824	0.025543
22	1	738.243590	635.720033	50.029985	4.419888	93.235820	0.161272	2.732323	8.527886	4.218224	0.014917
23	1	739.242993	645.910481	50.029985	4.313854	101.181388	0.144498	2.487375	10.343541	4.654857	0.226610
24	1	826.473185	738.988772	50.029989	3.492417	97.125498	0.118384	2.331519	13.081060	4.305682	0.231916
25	1	507.481965	410.097441	50.029985	8.932352	139.538423	0.237467	2.595364	6.373365	3.996069	0.023637
