Indent	Cycle	Max.	Plastic	Max.				Contact	Plastic	Elastic	Fit
		Depth	Depth	Load	Hardness	Er	ERP	Compliance	Work	Work	MSE
		(nm)	(nm)	(mN)	(GPa)	(GPa)		(nm/mN)	(nJ)	(nJ)
1	1	378.045067	342.849533	10.029985	2.477442	91.043711	0.102656	4.678709	1.265364	0.368695	0.010608
2	1	232.238283	191.710941	10.029985	7.598400	138.467792	0.211398	5.387491	0.492549	0.336229	0.002560
3	1	266.755499	228.543039	10.029985	5.461363	124.503428	0.167200	5.079763	0.645463	0.322258	0.002903
4	1	369.493378	332.887761	10.029990	2.618875	90.000633	0.109964	4.866155	0.889918	0.329467	0.002584
5	1	8679.402849	8639.975817	10.029985	0.000028	0.275360	0.004563	5.241222	3.602117	0.789148	0.002930
6	1	278.219338	232.289453	10.029985	5.290627	101.951592	0.197727	6.105677	0.777268	0.379641	0.002139
7	1	252.896376	207.253709	10.029985	6.587543	114.479184	0.220226	6.067496	0.774234	0.376983	0.002018
8	1	245.484448	200.060261	10.029985	7.034329	118.866633	0.227053	6.038452	0.683194	0.355698	0.002167
9	1	340.988644	290.328828	10.029980	3.408798	74.194667	0.174491	6.734452	1.199655	0.408453	0.002050
10	1	448.913564	406.135886	10.029985	1.821447	64.228368	0.105328	5.686639	1.521249	0.397819	0.002153
11	1	274.273450	237.239186	10.029970	5.076319	123.852915	0.156105	4.923147	0.851597	0.360156	0.004003
12	1	269.885322	224.121962	10.029980	5.672788	105.953691	0.204190	6.083543	0.733773	0.391756	0.002193
13	1	411.669375	367.387844	10.029985	2.179871	67.877933	0.120531	5.886553	1.701883	0.405703	0.002533
14	1	257.749948	213.567653	10.029990	6.224109	114.954570	0.206877	5.873358	0.660293	0.365179	0.003292
15	1	344.377697	304.913163	10.029985	3.098452	90.803203	0.129429	5.246207	1.079730	0.349124	0.003186
16	1	248.899157	203.662084	10.029985	6.806166	117.406619	0.222118	6.013578	0.599475	0.374597	0.002108
17	1	249.124984	207.946845	10.029985	6.546358	126.493713	0.198022	5.474005	0.726295	0.352331	0.002310
18	1	310.733782	271.379427	10.029985	3.892609	102.061834	0.145016	5.231561	0.587819	0.389736	0.004672
19	1	273.025914	241.361939	10.029985	4.907140	142.424460	0.131189	4.209242	0.830796	0.317117	0.005369
20	1	221.188784	177.190629	10.029990	8.696899	136.453181	0.248310	5.848880	0.512243	0.356330	0.002160
21	1	350.610817	311.363265	10.029985	2.975594	89.476720	0.126051	5.217363	1.520758	0.356654	0.002662
22	1	480.168696	445.212939	10.029985	1.555258	72.630386	0.078515	4.646834	1.460262	0.290721	0.003838
23	1	260.182551	228.408935	10.029985	5.467615	149.819424	0.139108	4.223817	0.484095	0.297407	0.005226
24	1	366.244927	324.839395	10.029985	2.743452	81.437818	0.127465	5.504233	1.295412	0.372322	0.002671
25	1	282.240981	249.019382	10.029985	4.613860	131.627758	0.133410	4.416304	0.842275	0.298719	0.003917
